Year,NOC,region,Sport,Event,Medal
2000,HUN,Hungary,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Gold
2004,HUN,Hungary,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Gold
1980,SWE,Sweden,Modern Pentathlon,Modern Pentathlon Men's Team,Bronze
1972,HUN,Hungary,Weightlifting,Weightlifting Men's Light-Heavyweight,Bronze
1980,HUN,Hungary,Modern Pentathlon,Modern Pentathlon Men's Team,Silver
1960,HUN,Hungary,Fencing,"Fencing Men's Sabre, Individual",Silver
2012,JPN,Japan,Swimming,Swimming Women's 200 metres Butterfly,Bronze
2016,JPN,Japan,Swimming,Swimming Women's 200 metres Butterfly,Bronze
1964,GBR,UK,Fencing,"Fencing Men's epee, Individual",Silver
1984,JPN,Japan,Judo,Judo Men's Extra-Lightweight,Gold
1988,JPN,Japan,Judo,Judo Men's Extra-Lightweight,Bronze
2016,HUN,Hungary,Swimming,Swimming Women's 100 metres Backstroke,Gold
2016,HUN,Hungary,Swimming,Swimming Women's 200 metres Backstroke,Silver
2016,HUN,Hungary,Swimming,Swimming Women's 200 metres Individual Medley,Gold
2016,HUN,Hungary,Swimming,Swimming Women's 400 metres Individual Medley,Gold
1996,UKR,Ukraine,Weightlifting,Weightlifting Men's Heavyweight I,Bronze
1972,GDR,Germany,Judo,Judo Men's Half-Middleweight,Bronze
1964,DEU,,Rowing,Rowing Men's Coxless Pairs,Bronze
1984,CHN,China,Volleyball,Volleyball Women's Volleyball,Gold
2012,CHN,China,Taekwondo,Taekwondo Women's Featherweight,Silver
1968,USA,USA,Rowing,Rowing Men's Coxless Pairs,Silver
2008,NLD,,Judo,Judo Men's Extra-Lightweight,Bronze
1992,AUS,Australia,Swimming,"Swimming Men's 1,500 metres Freestyle",Silver
2012,NLD,,Equestrianism,"Equestrianism Mixed Jumping, Team",Silver
2008,GBR,UK,Cycling,"Cycling Women's Individual Pursuit, 3,000 metres",Silver
2000,UKR,Ukraine,Athletics,Athletics Women's Triple Jump,Bronze
1992,USA,USA,Athletics,Athletics Women's 4 x 400 metres Relay,Silver
1992,GBR,UK,Judo,Judo Women's Middleweight,Bronze
2000,GBR,UK,Judo,Judo Women's Middleweight,Silver
2000,AUS,Australia,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",Silver
2000,GBR,UK,Cycling,Cycling Men's Team Sprint,Silver
2004,GBR,UK,Cycling,"Cycling Men's 1,000 metres Time Trial",Gold
2008,GBR,UK,Cycling,Cycling Men's Sprint,Gold
2008,GBR,UK,Cycling,Cycling Men's Team Sprint,Gold
2012,GBR,UK,Cycling,Cycling Men's Keirin,Gold
1984,FRA,France,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",Bronze
1980,GBR,UK,Athletics,Athletics Women's 4 x 400 metres Relay,Bronze
2012,DNK,,Sailing,Sailing Men's One Person Heavyweight Dinghy,Silver
1996,DNK,,Badminton,Badminton Men's Singles,Gold
2004,UKR,Ukraine,Archery,Archery Men's Team,Bronze
2016,CZE,Czech Republic,Tennis,Tennis Mixed Doubles,Bronze
2012,CZE,Czech Republic,Canoeing,"Canoeing Men's Kayak Singles, Slalom",Silver
1992,TCH,Czech Republic,Shooting,Shooting Mixed Trap,Gold
2016,HRV,,Boxing,Boxing Men's Super-Heavyweight,Bronze
2012,TWN,,Weightlifting,Weightlifting Women's Featherweight,Silver
2016,TWN,,Weightlifting,Weightlifting Women's Featherweight,Gold
2016,AZE,Azerbaijan,Wrestling,"Wrestling Men's Middleweight, Freestyle",Bronze
2008,CHN,China,Shooting,Shooting Men's Double Trap,Bronze
2000,CHN,China,Diving,Diving Men's Platform,Silver
2000,CHN,China,Diving,Diving Men's Synchronized Platform,Silver
2004,CHN,China,Diving,Diving Men's Platform,Gold
2016,CHN,China,Boxing,Boxing Men's Flyweight,Bronze
1988,CHN,China,Rowing,Rowing Women's Coxed Fours,Silver
2000,TWN,,Taekwondo,Taekwondo Men's Flyweight,Bronze
2004,TWN,,Taekwondo,Taekwondo Men's Featherweight,Silver
1992,CHN,China,Badminton,Badminton Women's Singles,Bronze
2004,CHN,China,Trampolining,Trampolining Women's Individual,Bronze
1984,CHN,China,Shooting,"Shooting Men's Running Target, 50 metres",Bronze
1988,CHN,China,Shooting,"Shooting Men's Running Target, 50 metres",Silver
2012,CHN,China,Rowing,Rowing Women's Lightweight Double Sculls,Silver
2016,CHN,China,Rowing,Rowing Women's Lightweight Double Sculls,Bronze
1988,CHN,China,Swimming,Swimming Women's 200 metres Breaststroke,Silver
2000,CHN,China,Gymnastics,Gymnastics Men's Team All-Around,Gold
2012,CHN,China,Synchronized Swimming,Synchronized Swimming Women's Duet,Bronze
2016,CHN,China,Synchronized Swimming,Synchronized Swimming Women's Duet,Silver
1992,CHN,China,Athletics,Athletics Women's Shot Put,Silver
1980,GBR,UK,Swimming,Swimming Men's 200 metres Butterfly,Silver
1964,DEU,,Boxing,Boxing Men's Heavyweight,Silver
1960,DEU,,Athletics,Athletics Women's Shot Put,Silver
1968,TCH,Czech Republic,Athletics,Athletics Women's High Jump,Gold
1988,DEU,,Equestrianism,"Equestrianism Mixed Jumping, Individual",Bronze
1996,AUS,Australia,Shooting,Shooting Women's Double Trap,Bronze
1960,USA,USA,Athletics,Athletics Women's 4 x 100 metres Relay,Gold
2000,AUS,Australia,Swimming,Swimming Men's 100 metres Butterfly,Bronze
2000,USA,USA,Athletics,Athletics Men's Decathlon,Bronze
1996,CAN,Canada,Cycling,"Cycling Women's Road Race, Individual",Bronze
1996,CAN,Canada,Cycling,Cycling Women's Individual Time Trial,Bronze
1980,FIN,Finland,Wrestling,"Wrestling Men's Welterweight, Greco-Roman",Bronze
1996,USA,USA,Archery,Archery Men's Individual,Gold
1996,USA,USA,Archery,Archery Men's Team,Gold
1996,NLD,,Judo,Judo Men's Middleweight,Bronze
2000,NLD,,Judo,Judo Men's Middleweight,Gold
2004,NLD,,Judo,Judo Men's Middleweight,Bronze
2004,USA,USA,Gymnastics,Gymnastics Women's Uneven Bars,Silver
1988,GDR,Germany,Swimming,Swimming Women's 200 metres Individual Medley,Gold
1988,GDR,Germany,Swimming,Swimming Women's 400 metres Individual Medley,Bronze
1992,DEU,,Swimming,Swimming Women's 200 metres Individual Medley,Bronze
1964,CAN,Canada,Rowing,Rowing Men's Coxless Pairs,Gold
1972,GBR,UK,Sailing,Sailing Mixed Two Person Keelboat,Silver
1960,USA,USA,Sailing,Sailing Mixed 5.5 metres,Gold
2008,GBR,UK,Rowing,Rowing Men's Lightweight Double Sculls,Gold
2012,GBR,UK,Rowing,Rowing Men's Lightweight Double Sculls,Silver
1984,USA,USA,Athletics,Athletics Women's High Jump,Bronze
2008,CHN,China,Diving,Diving Men's Synchronized Platform,Gold
1968,RUS,Russia,Wrestling,"Wrestling Men's Middleweight, Freestyle",Gold
2012,USA,USA,Fencing,"Fencing Women's epee, Team",Bronze
1960,CHE,,Rowing,Rowing Men's Double Sculls,Bronze
1972,FIN,Finland,Modern Pentathlon,Modern Pentathlon Men's Team,Bronze
1972,GDR,Germany,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Silver
1976,GDR,Germany,Cycling,"Cycling Men's Individual Pursuit, 4,000 metres",Bronze
1992,EUN,Russia,Judo,Judo Men's Extra-Lightweight,Gold
1988,PAK,Pakistan,Boxing,Boxing Men's Middleweight,Bronze
1972,DEU,,Boxing,Boxing Men's Heavyweight,Bronze
1996,DEU,,Weightlifting,Weightlifting Men's Light-Heavyweight,Silver
2000,DEU,,Weightlifting,Weightlifting Men's Light-Heavyweight,Silver
2008,DEU,,Rowing,Rowing Women's Double Sculls,Silver
1992,EUN,Russia,Gymnastics,Gymnastics Women's Individual All-Around,Gold
1992,EUN,Russia,Gymnastics,Gymnastics Women's Floor Exercise,Bronze
1992,EUN,Russia,Gymnastics,Gymnastics Women's Uneven Bars,Silver
1968,CAN,Canada,Swimming,Swimming Men's 400 metres Freestyle,Silver
1992,EUN,Russia,Fencing,"Fencing Men's Sabre, Team",Gold
2008,CAN,Canada,Wrestling,"Wrestling Women's Flyweight, Freestyle",Gold
2012,CAN,Canada,Wrestling,"Wrestling Women's Flyweight, Freestyle",Bronze
1976,RUS,Russia,Rowing,Rowing Women's Coxed Eights,Silver
2012,UKR,Ukraine,Boxing,Boxing Men's Light-Heavyweight,Bronze
2004,KOR,South Korea,Taekwondo,Taekwondo Women's Welterweight,Bronze
2008,KOR,South Korea,Taekwondo,Taekwondo Women's Welterweight,Gold
2012,KOR,South Korea,Taekwondo,Taekwondo Women's Welterweight,Gold
1972,PRK,North Korea,Volleyball,Volleyball Women's Volleyball,Bronze
1984,KOR,South Korea,Judo,Judo Men's Half-Lightweight,Silver
2008,KOR,South Korea,Badminton,Badminton Men's Doubles,Bronze
1992,KOR,South Korea,Athletics,Athletics Men's Marathon,Gold
1988,KOR,South Korea,Table Tennis,Table Tennis Women's Doubles,Gold
1992,KOR,South Korea,Table Tennis,Table Tennis Women's Singles,Bronze
1996,KOR,South Korea,Judo,Judo Women's Half-Lightweight,Silver
2004,CZE,Czech Republic,Shooting,"Shooting Women's Sporting Pistol, 25 metres",Silver
1960,GBR,UK,Athletics,Athletics Women's 100 metres,Silver
1960,GBR,UK,Athletics,Athletics Women's 200 metres,Bronze
2000,USA,USA,Swimming,Swimming Women's 200 metres Butterfly,Gold
2016,BRA,Brazil,Gymnastics,Gymnastics Men's Floor Exercise,Silver
2000,USA,USA,Athletics,Athletics Men's Pole Vault,Gold
1988,RUS,Russia,Modern Pentathlon,Modern Pentathlon Men's Individual,Bronze
2012,COL,Colombia,Athletics,Athletics Women's Triple Jump,Silver
2016,COL,Colombia,Athletics,Athletics Women's Triple Jump,Gold
2016,UZB,Uzbekistan,Wrestling,"Wrestling Men's Heavyweight, Freestyle",Bronze
2004,UZB,Uzbekistan,Wrestling,"Wrestling Men's Heavyweight, Freestyle",Silver
2000,MKD,Macedonia,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",Bronze
2000,RUS,Russia,Boxing,Boxing Men's Heavyweight,Silver
1964,RUS,Russia,Wrestling,"Wrestling Men's Bantamweight, Freestyle",Bronze
1996,KAZ,Kazakhstan,Boxing,Boxing Men's Light-Middleweight,Bronze
2000,KAZ,Kazakhstan,Boxing,Boxing Men's Light-Middleweight,Gold
1964,JPN,Japan,Wrestling,"Wrestling Men's Bantamweight, Greco-Roman",Gold
1964,JPN,Japan,Weightlifting,Weightlifting Men's Bantamweight,Bronze
2004,JPN,Japan,Wrestling,"Wrestling Women's Flyweight, Freestyle",Silver
2008,JPN,Japan,Wrestling,"Wrestling Women's Flyweight, Freestyle",Silver
2004,JPN,Japan,Wrestling,"Wrestling Women's Middleweight, Freestyle",Gold
2008,JPN,Japan,Wrestling,"Wrestling Women's Middleweight, Freestyle",Gold
2012,JPN,Japan,Wrestling,"Wrestling Women's Middleweight, Freestyle",Gold
2016,JPN,Japan,Wrestling,"Wrestling Women's Lightweight, Freestyle",Gold
1992,NGA,,Athletics,Athletics Women's 4 x 100 metres Relay,Bronze
1984,DEU,,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",Bronze
1996,ITA,Italy,Canoeing,"Canoeing Women's Kayak Singles, 500 metres",Bronze
2000,ITA,Italy,Canoeing,"Canoeing Women's Kayak Singles, 500 metres",Gold
2004,ITA,Italy,Canoeing,"Canoeing Women's Kayak Singles, 500 metres",Silver
2008,ITA,Italy,Canoeing,"Canoeing Women's Kayak Singles, 500 metres",Silver
2008,NGA,,Athletics,Athletics Women's 4 x 100 metres Relay,Bronze
2008,GBR,UK,Athletics,Athletics Men's Triple Jump,Silver
2000,CAN,Canada,Wrestling,"Wrestling Men's Welterweight, Freestyle",Gold
2000,HUN,Hungary,Shooting,Shooting Women's Skeet,Bronze
2004,HUN,Hungary,Shooting,Shooting Women's Skeet,Gold
1992,NGA,,Boxing,Boxing Men's Super-Heavyweight,Silver
2008,CUB,Cuba,Boxing,Boxing Men's Light-Welterweight,Bronze
2012,CUB,Cuba,Boxing,Boxing Men's Light-Welterweight,Gold
2004,RUS,Russia,Cycling,Cycling Men's Points Race,Gold
2008,RUS,Russia,Cycling,Cycling Men's Madison,Bronze
1964,ROU,Romania,Canoeing,"Canoeing Men's Canadian Singles, 1,000 metres",Silver
2012,MAR,Morocco,Athletics,"Athletics Men's 1,500 metres",Bronze
2016,EGY,Egypt,Weightlifting,Weightlifting Men's Middleweight,Bronze
1988,JPN,Japan,Gymnastics,Gymnastics Men's Team All-Around,Bronze
1988,JPN,Japan,Gymnastics,Gymnastics Men's Floor Exercise,Bronze
1992,JPN,Japan,Gymnastics,Gymnastics Men's Floor Exercise,Silver
1972,NGA,,Boxing,Boxing Men's Light-Heavyweight,Bronze
2008,RUS,Russia,Swimming,Swimming Women's 10 kilometres Open Water,Gold
2016,TUR,Turkey,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",Bronze
1984,BEL,Belgium,Cycling,Cycling Men's Points Race,Gold
2004,GRC,,Judo,Judo Men's Half-Middleweight,Gold
2012,GRC,,Judo,Judo Men's Middleweight,Bronze
2004,BGR,,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Bronze
2008,KAZ,Kazakhstan,Weightlifting,Weightlifting Men's Middle-Heavyweight,Gold
2012,KAZ,Kazakhstan,Weightlifting,Weightlifting Men's Middle-Heavyweight,Gold
2000,RUS,Russia,Diving,Diving Women's Synchronized Springboard,Gold
2004,RUS,Russia,Diving,Diving Women's Synchronized Springboard,Silver
2004,KOR,South Korea,Archery,Archery Men's Team,Gold
2008,KOR,South Korea,Archery,Archery Men's Team,Gold
2012,KOR,South Korea,Archery,Archery Men's Team,Bronze
2008,KOR,South Korea,Taekwondo,Taekwondo Women's Featherweight,Gold
1988,DEU,,Weightlifting,Weightlifting Men's Heavyweight I,Bronze
2008,AZE,Azerbaijan,Boxing,Boxing Men's Featherweight,Bronze
1996,HUN,Hungary,Fencing,"Fencing Men's epee, Individual",Bronze
2016,HUN,Hungary,Fencing,"Fencing Men's epee, Individual",Silver
2000,IDN,,Weightlifting,Weightlifting Women's Flyweight,Bronze
1996,ESP,Spain,Cycling,Cycling Men's Individual Time Trial,Gold
1960,TCH,Czech Republic,Athletics,Athletics Women's Javelin Throw,Silver
2016,ITA,Italy,Shooting,Shooting Men's Double Trap,Silver
1964,JPN,Japan,Judo,Judo Men's Heavyweight,Gold
2004,JPN,Japan,Wrestling,"Wrestling Men's Lightweight, Freestyle",Bronze
2000,JPN,Japan,Judo,Judo Men's Half-Heavyweight,Gold
2016,JPN,Japan,Synchronized Swimming,Synchronized Swimming Women's Duet,Bronze
1980,ROU,Romania,Shooting,"Shooting Mixed Rapid-Fire Pistol, 25 metres",Gold
1984,ROU,Romania,Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres",Silver
1960,ROU,Romania,Gymnastics,Gymnastics Women's Team All-Around,Bronze
1984,ROU,Romania,Athletics,Athletics Women's Long Jump,Silver
2000,ROU,Romania,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",Bronze
1972,ROU,Romania,Wrestling,"Wrestling Men's Middleweight, Freestyle",Bronze
1984,ROU,Romania,Rowing,Rowing Men's Coxless Pairs,Gold
2012,MDA,Moldova,Weightlifting,Weightlifting Women's Featherweight,Bronze
2008,IDN,,Weightlifting,Weightlifting Men's Bantamweight,Bronze
2012,IDN,,Weightlifting,Weightlifting Men's Featherweight,Bronze
2016,IDN,,Weightlifting,Weightlifting Men's Featherweight,Silver
2012,JPN,Japan,Swimming,Swimming Men's 100 metres Backstroke,Bronze
2012,JPN,Japan,Swimming,Swimming Men's 200 metres Backstroke,Silver
1984,JPN,Japan,Wrestling,"Wrestling Men's Light-Flyweight, Freestyle",Silver
1976,ROU,Romania,Fencing,"Fencing Men's Sabre, Team",Bronze
1980,RUS,Russia,Archery,Archery Men's Individual,Silver
1976,BGR,,Wrestling,"Wrestling Men's Light-Flyweight, Freestyle",Gold
2004,RUS,Russia,Shooting,"Shooting Men's Air Pistol, 10 metres",Bronze
2008,RUS,Russia,Shooting,"Shooting Men's Free Pistol, 50 metres",Bronze
2008,SVN,,Swimming,Swimming Women's 200 metres Freestyle,Silver
1964,DNK,,Cycling,"Cycling Men's Individual Pursuit, 4,000 metres",Bronze
1984,JPN,Japan,Weightlifting,Weightlifting Men's Light-Heavyweight,Bronze
1988,HUN,Hungary,Boxing,Boxing Men's Light-Flyweight,Bronze
2012,RUS,Russia,Judo,Judo Men's Lightweight,Gold
2016,AZE,Azerbaijan,Taekwondo,Taekwondo Men's Heavyweight,Gold
2012,RUS,Russia,Synchronized Swimming,Synchronized Swimming Women's Duet,Gold
2016,RUS,Russia,Synchronized Swimming,Synchronized Swimming Women's Duet,Gold
1972,BRA,Brazil,Judo,Judo Men's Half-Heavyweight,Bronze
2008,JPN,Japan,Judo,Judo Men's Heavyweight,Gold
2012,RUS,Russia,Athletics,Athletics Women's Pole Vault,Bronze
1992,EUN,Russia,Wrestling,"Wrestling Men's Welterweight, Greco-Roman",Gold
2004,EGY,Egypt,Boxing,Boxing Men's Light-Heavyweight,Bronze
2008,SDN,,Athletics,Athletics Men's 800 metres,Silver
2016,TUR,Turkey,Weightlifting,Weightlifting Men's Lightweight,Silver
2004,JPN,Japan,Softball,Softball Women's Softball,Bronze
1992,JPN,Japan,Baseball,Baseball Men's Baseball,Bronze
1972,ROU,Romania,Shooting,"Shooting Mixed Free Pistol, 50 metres",Silver
1988,ROU,Romania,Athletics,"Athletics Women's 1,500 metres",Gold
1988,ROU,Romania,Athletics,"Athletics Women's 3,000 metres",Silver
1988,RUS,Russia,Athletics,Athletics Men's 50 kilometres Walk,Gold
1992,HRV,,Tennis,Tennis Men's Singles,Bronze
1992,HRV,,Tennis,Tennis Men's Doubles,Bronze
1964,RUS,Russia,Wrestling,"Wrestling Men's Heavyweight, Freestyle",Gold
2012,RUS,Russia,Weightlifting,Weightlifting Men's Middle-Heavyweight,Silver
1976,RUS,Russia,Wrestling,"Wrestling Men's Flyweight, Freestyle",Silver
1992,BGR,,Weightlifting,Weightlifting Men's Flyweight,Gold
1988,RUS,Russia,Shooting,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",Bronze
1976,RUS,Russia,Rowing,Rowing Men's Coxed Fours,Gold
1960,BGR,,Wrestling,"Wrestling Men's Featherweight, Freestyle",Silver
1964,BGR,,Wrestling,"Wrestling Men's Featherweight, Freestyle",Silver
1992,EUN,Russia,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Silver
1960,RUS,Russia,Rowing,Rowing Men's Single Sculls,Gold
1964,RUS,Russia,Rowing,Rowing Men's Single Sculls,Gold
2000,RUS,Russia,Taekwondo,Taekwondo Women's Heavyweight,Silver
2004,RUS,Russia,Athletics,Athletics Women's 20 kilometres Walk,Silver
1996,RUS,Russia,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Silver
1980,RUS,Russia,Athletics,Athletics Men's 50 kilometres Walk,Bronze
1972,USA,USA,Swimming,Swimming Men's 200 metres Backstroke,Bronze
1996,SCG,Serbia,Shooting,"Shooting Women's Air Rifle, 10 metres",Bronze
1996,SCG,Serbia,Shooting,"Shooting Women's Small-Bore Rifle, Three Positions, 50 metres",Gold
1992,JPN,Japan,Swimming,Swimming Women's 200 metres Breaststroke,Gold
2008,ROU,Romania,Gymnastics,Gymnastics Women's Floor Exercise,Gold
2012,ROU,Romania,Gymnastics,Gymnastics Women's Horse Vault,Gold
1992,NGA,,Boxing,Boxing Men's Heavyweight,Silver
2008,RUS,Russia,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Silver
2004,JPN,Japan,Judo,Judo Men's Middleweight,Silver
2008,KOR,South Korea,Taekwondo,Taekwondo Men's Heavyweight,Gold
2016,KOR,South Korea,Taekwondo,Taekwondo Men's Heavyweight,Bronze
2004,EST,Estonia,Rowing,Rowing Men's Single Sculls,Silver
1972,NLD,,Canoeing,"Canoeing Women's Kayak Singles, 500 metres",Silver
1980,RUS,Russia,Judo,Judo Men's Middleweight,Bronze
1972,GBR,UK,Judo,Judo Men's Middleweight,Bronze
1988,GBR,UK,Athletics,Athletics Men's 110 metres Hurdles,Silver
1992,USA,USA,Wrestling,"Wrestling Men's Middleweight, Freestyle",Gold
2016,JAM,Jamaica,Athletics,Athletics Women's 400 metres,Bronze
1996,USA,USA,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Gold
1988,JAM,Jamaica,Athletics,Athletics Women's 200 metres,Silver
1992,USA,USA,Canoeing,"Canoeing Men's Canadian Doubles, Slalom",Gold
1964,DEU,,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Silver
2004,USA,USA,Fencing,"Fencing Women's Sabre, Individual",Bronze
2008,USA,USA,Fencing,"Fencing Women's Sabre, Individual",Silver
2008,USA,USA,Fencing,"Fencing Women's Sabre, Team",Bronze
1988,HUN,Hungary,Weightlifting,Weightlifting Men's Heavyweight II,Silver
1996,IRN,,Wrestling,"Wrestling Men's Heavyweight, Freestyle",Silver
2016,USA,USA,Swimming,"Swimming Men's 1,500 metres Freestyle",Silver
2016,USA,USA,Athletics,"Athletics Men's 3,000 metres Steeplechase",Silver
1972,DEU,,Athletics,Athletics Women's 400 metres,Silver
1976,GDR,Germany,Rowing,Rowing Men's Coxed Pairs,Gold
1980,GDR,Germany,Rowing,Rowing Men's Coxed Pairs,Gold
1984,DNK,,Canoeing,"Canoeing Men's Canadian Singles, 500 metres",Silver
1984,DNK,,Canoeing,"Canoeing Men's Canadian Singles, 1,000 metres",Bronze
1992,DEU,,Shooting,"Shooting Men's Running Target, 10 metres",Gold
1968,IRN,,Weightlifting,Weightlifting Men's Lightweight,Silver
2012,BHR,,Athletics,"Athletics Women's 1,500 metres",Bronze
2016,GBR,UK,Cycling,Cycling Women's Sprint,Silver
2016,GBR,UK,Cycling,Cycling Women's Keirin,Silver
2012,GRD,,Athletics,Athletics Men's 400 metres,Gold
2016,GRD,,Athletics,Athletics Men's 400 metres,Silver
1976,USA,USA,Weightlifting,Weightlifting Men's Middle-Heavyweight,Silver
2008,GBR,UK,Rowing,Rowing Men's Coxless Fours,Gold
1988,GBR,UK,Swimming,Swimming Men's 100 metres Butterfly,Bronze
2012,GBR,UK,Swimming,Swimming Men's 200 metres Breaststroke,Silver
1980,MNG,,Wrestling,"Wrestling Men's Welterweight, Freestyle",Silver
1964,KOR,South Korea,Wrestling,"Wrestling Men's Flyweight, Freestyle",Silver
1976,KOR,South Korea,Judo,Judo Men's Lightweight,Silver
1996,KOR,South Korea,Wrestling,"Wrestling Men's Featherweight, Freestyle",Silver
2000,KOR,South Korea,Wrestling,"Wrestling Men's Lightweight, Freestyle",Bronze
2004,KOR,South Korea,Taekwondo,Taekwondo Women's Featherweight,Gold
2004,KOR,South Korea,Weightlifting,Weightlifting Women's Super-Heavyweight,Silver
2008,KOR,South Korea,Weightlifting,Weightlifting Women's Super-Heavyweight,Gold
1980,PRK,North Korea,Wrestling,"Wrestling Men's Light-Flyweight, Freestyle",Silver
2004,KOR,South Korea,Judo,Judo Men's Half-Heavyweight,Silver
1968,KOR,South Korea,Boxing,Boxing Men's Bantamweight,Bronze
1996,KOR,South Korea,Archery,Archery Men's Team,Silver
2000,KOR,South Korea,Archery,Archery Men's Team,Gold
1984,YUG,Serbia,Canoeing,"Canoeing Men's Kayak Singles, 1,000 metres",Silver
1972,GDR,Germany,Diving,Diving Women's Springboard,Bronze
1972,GDR,Germany,Diving,Diving Women's Platform,Bronze
2012,POL,Poland,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",Bronze
1968,AUT,Austria,Athletics,Athletics Women's Javelin Throw,Bronze
1972,TCH,Czech Republic,Rowing,Rowing Men's Coxed Fours,Bronze
1988,HUN,Hungary,Fencing,"Fencing Women's Foil, Team",Bronze
1960,TCH,Czech Republic,Rowing,Rowing Men's Coxed Eights,Bronze
1992,SVN,,Rowing,Rowing Men's Coxless Fours,Bronze
1968,NLD,,Cycling,"Cycling Men's Tandem Sprint, 2,000 metres",Silver
1996,CZE,Czech Republic,Shooting,"Shooting Men's Running Target, 10 metres",Bronze
1968,GDR,Germany,Gymnastics,Gymnastics Women's Uneven Bars,Silver
1972,GDR,Germany,Gymnastics,Gymnastics Women's Individual All-Around,Silver
1972,GDR,Germany,Gymnastics,Gymnastics Women's Horse Vault,Gold
1972,GDR,Germany,Gymnastics,Gymnastics Women's Uneven Bars,Gold
1972,GDR,Germany,Gymnastics,Gymnastics Women's Balance Beam,Bronze
1964,DEU,,Equestrianism,"Equestrianism Mixed Jumping, Team",Gold
1976,POL,Poland,Athletics,Athletics Men's 4 x 400 metres Relay,Silver
1988,SWE,Sweden,Cycling,Cycling Men's 100 kilometres Team Time Trial,Bronze
2008,THA,Thailand,Weightlifting,Weightlifting Women's Featherweight,Gold
2000,FIN,Finland,Sailing,Sailing Mixed Skiff,Gold
1980,GDR,Germany,Diving,Diving Women's Platform,Gold
1964,USA,USA,Swimming,Swimming Men's 200 metres Breaststroke,Bronze
1972,IRN,,Wrestling,"Wrestling Men's Light-Flyweight, Freestyle",Bronze
2008,ARM,Armenia,Boxing,Boxing Men's Lightweight,Bronze
1960,GBR,UK,Fencing,"Fencing Men's epee, Individual",Silver
2000,LKA,,Athletics,Athletics Women's 200 metres,Silver
1960,FRA,France,Athletics,"Athletics Men's 1,500 metres",Silver
2008,FRA,France,Fencing,"Fencing Men's epee, Individual",Silver
2008,FRA,France,Fencing,"Fencing Men's epee, Team",Gold
2016,BHR,,Athletics,"Athletics Women's 3,000 metres Steeplechase",Gold
2004,POL,Poland,Swimming,Swimming Women's 400 metres Freestyle,Silver
2004,POL,Poland,Swimming,Swimming Women's 100 metres Butterfly,Silver
2004,POL,Poland,Swimming,Swimming Women's 200 metres Butterfly,Gold
1996,NZL,New Zealand,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Bronze
2008,GBR,UK,Boxing,Boxing Men's Light-Heavyweight,Bronze
2008,KEN,Kenya,Athletics,Athletics Women's 800 metres,Gold
2008,POL,Poland,Rowing,Rowing Men's Quadruple Sculls,Gold
1976,USA,USA,Athletics,Athletics Men's Decathlon,Gold
2016,CAN,Canada,Rowing,Rowing Women's Lightweight Double Sculls,Silver
1992,USA,USA,Athletics,"Athletics Women's 10,000 metres",Bronze
2012,USA,USA,Taekwondo,Taekwondo Men's Featherweight,Bronze
2004,DNK,,Sailing,Sailing Women's Three Person Keelboat,Bronze
2012,AUS,Australia,Sailing,Sailing Men's Skiff,Gold
2016,AUS,Australia,Sailing,Sailing Men's Skiff,Silver
2004,USA,USA,Swimming,"Swimming Men's 1,500 metres Freestyle",Silver
2008,USA,USA,Swimming,Swimming Men's 400 metres Freestyle,Bronze
1972,NOR,Norway,Weightlifting,Weightlifting Men's Light-Heavyweight,Gold
1968,DNK,,Cycling,"Cycling Men's Individual Pursuit, 4,000 metres",Silver
1984,DNK,,Equestrianism,"Equestrianism Mixed Dressage, Individual",Silver
1988,KOR,South Korea,Weightlifting,Weightlifting Men's Flyweight,Silver
1992,KOR,South Korea,Weightlifting,Weightlifting Men's Bantamweight,Gold
1984,KOR,South Korea,Boxing,Boxing Men's Lightweight,Bronze
1996,KOR,South Korea,Judo,Judo Men's Middleweight,Gold
1976,KOR,South Korea,Wrestling,"Wrestling Men's Flyweight, Freestyle",Bronze
2012,KOR,South Korea,Fencing,"Fencing Women's Foil, Team",Bronze
1988,KOR,South Korea,Archery,Archery Men's Team,Gold
2016,KOR,South Korea,Judo,Judo Women's Extra-Lightweight,Silver
2000,KOR,South Korea,Judo,Judo Men's Extra-Lightweight,Silver
2016,KOR,South Korea,Badminton,Badminton Women's Doubles,Bronze
